Running ./cmake-build-release/bin/multiple_intersections
Run on (8 X 4827.41 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.65, 0.65, 0.50
--------------------------------------------------------------------------------------
Benchmark                                            Time             CPU   Iterations
BM_using_binary_search/7/4096                    60492 ns        60491 ns        11526
BM_using_binary_search/2/32768                  336602 ns       336596 ns         2079
BM_using_binary_search/3/32768                  422639 ns       422635 ns         1655
BM_using_binary_search/4/32768                  467195 ns       467189 ns         1497
BM_using_binary_search/5/32768                  492681 ns       492679 ns         1390
BM_using_binary_search/6/32768                  523743 ns       523734 ns         1325
BM_using_binary_search/7/32768                  553007 ns       553004 ns         1268
BM_using_binary_search/2/262144                2874811 ns      2874772 ns          243
BM_using_binary_search/3/262144                3585890 ns      3585888 ns          195
BM_using_binary_search/4/262144                3949806 ns      3949637 ns          177
BM_using_binary_search/5/262144                4258342 ns      4258068 ns          165
BM_using_binary_search/6/262144                4503047 ns      4502842 ns          155
BM_using_binary_search/7/262144                4769467 ns      4769376 ns          147
BM_using_less_branching/2/8                       29.9 ns         29.9 ns     23104156
BM_using_less_branching/3/8                       36.8 ns         36.8 ns     19244891
BM_using_less_branching/4/8                       44.7 ns         44.7 ns     13249302
BM_using_less_branching/5/8                       47.9 ns         47.9 ns     12495447
BM_using_less_branching/6/8                       69.3 ns         69.3 ns     11325984
BM_using_less_branching/7/8                       63.0 ns         63.0 ns     10533689
BM_using_less_branching/2/64                       156 ns          156 ns      4325587
BM_using_less_branching/3/64                       201 ns          201 ns      3509894
BM_using_less_branching/4/64                       254 ns          254 ns      2784758
BM_using_less_branching/5/64                       243 ns          243 ns      2451833
BM_using_less_branching/6/64                       247 ns          247 ns      2163593
BM_using_less_branching/7/64                       334 ns          334 ns      1935735
BM_using_less_branching/2/512                     1245 ns         1245 ns       554061
BM_using_less_branching/3/512                     1652 ns         1652 ns       415800
BM_using_less_branching/4/512                     2030 ns         2030 ns       347428
BM_using_less_branching/5/512                     2296 ns         2296 ns       293747
BM_using_less_branching/6/512                     2736 ns         2736 ns       256665
BM_using_less_branching/7/512                     2676 ns         2676 ns       212501
BM_using_less_branching/2/4096                   24221 ns        24221 ns        28518
BM_using_less_branching/3/4096                   29898 ns        29898 ns        23139
BM_using_less_branching/4/4096                   33716 ns        33715 ns        20820
BM_using_less_branching/5/4096                   37649 ns        37647 ns        18290
BM_using_less_branching/6/4096                   42571 ns        42571 ns        16482
BM_using_less_branching/7/4096                   46212 ns        46211 ns        15049
BM_using_less_branching/2/32768                 226495 ns       226494 ns         3087
BM_using_less_branching/3/32768                 272081 ns       272076 ns         2575
BM_using_less_branching/4/32768                 305083 ns       305081 ns         2285
BM_using_less_branching/5/32768                 333796 ns       333791 ns         2084
BM_using_less_branching/6/32768                 362319 ns       362316 ns         1927
BM_using_less_branching/7/32768                 392452 ns       392448 ns         1781
BM_using_less_branching/2/262144               1871078 ns      1870957 ns          374
BM_using_less_branching/3/262144               2261633 ns      2261597 ns          311
BM_using_less_branching/4/262144               2541466 ns      2541304 ns          277
BM_using_less_branching/5/262144               2777266 ns      2777155 ns          252
BM_using_less_branching/6/262144               3061504 ns      3061460 ns          228
BM_using_less_branching/7/262144               3365219 ns      3365100 ns          208
BM_using_less_branching_unrolled/2/8              31.8 ns         31.8 ns     22026797
BM_using_less_branching_unrolled/3/8              42.9 ns         42.9 ns     17268082
BM_using_less_branching_unrolled/4/8              50.5 ns         50.5 ns     10000000
BM_using_less_branching_unrolled/5/8              67.1 ns         67.1 ns     10064425
BM_using_less_branching_unrolled/6/8              70.5 ns         70.5 ns     10060900
BM_using_less_branching_unrolled/7/8              70.7 ns         70.7 ns      8601956
BM_using_less_branching_unrolled/2/64              157 ns          157 ns      4119680
BM_using_less_branching_unrolled/3/64              202 ns          202 ns      3357356
BM_using_less_branching_unrolled/4/64              254 ns          254 ns      2786382
BM_using_less_branching_unrolled/5/64              224 ns          224 ns      2777545
BM_using_less_branching_unrolled/6/64              289 ns          289 ns      2662179
BM_using_less_branching_unrolled/7/64              312 ns          312 ns      2168073
BM_using_less_branching_unrolled/2/512            1251 ns         1251 ns       559752
BM_using_less_branching_unrolled/3/512            1584 ns         1584 ns       436560
BM_using_less_branching_unrolled/4/512            1869 ns         1869 ns       376742
BM_using_less_branching_unrolled/5/512            2260 ns         2260 ns       321869
BM_using_less_branching_unrolled/6/512            2510 ns         2510 ns       291272
